kelime,anlam
cöbel,köşe
cubbalak,bülbül cinsi böcek yiyen bir kuş
culluk,hindi
çağla,kayısı
çakıldak,birikmiş pislik
çangal,çengel
çantak,ağaç dallarının birbirinden ayrıldığı yer
çaspar,çapur
çapıt,bez parçası
çat,orta yer
çatal,kuş sapanı
çelik,çocuk ayakkabısı
çekgen,çekirge
çıbık,küçük ince dal
çıtırmenik,meneviş ağacı
çiğirt,pamuk tohumu
çilpek,yaş veya kuru olan ince ağaç parçası
çilte,çuval
çingil,küçük bakraç
çiriş,ayakkabıcılıkta kullanılan bitki
çitimek,sökükleri dikmek
çomça,büyük tahta kepçe
çopur,çiçek bozuğu cilt
çotuk,ağaç veya asma kütüğü
çoturuk,dişleri düzgün olmayan
çöğmek,yere eğilmek
çökelik,yağı alınmış deri peyniri
çölpeşik,becereksiz
dalap,çiftleşmeye hazır dişi hayvan
damdıra,halk ozanlarının çaldığı telli saz
daraba,dükkanların dış kepengi
darı,mısır
deccal,kötü aynat
delice,şahin veya atmaca cinsinden yırtıcı olmayan bir kuş
depik,tekme
devlip,hububat değirmeni
dikeç,ağaçtan yapılmış kazık
dingog,baykuş
dinkama,kuru ve etsiz zayıf adam
dişlek,dişleri bozuk çirkin insan
divlek,yerli kavun
doğdaç,bir aylık yeni doğmuş çocuk
döllemek,hamile kalmak
dutarga,sinir krizi geçirme
dutmaç,erişte ve ev makarnası çorbası
dutmak,yakalamak
dünek,tavuk veya kuşların gecelediği yer
düşelge,miras hissesi
ebabil kuşu,kırlangıç
ebelik,ebe gümeci
ebem kuşağı,gökkuşağı
ece,erkek kardeş
eloca,çulluk kuşu
elöpen,kertenkele
emlik,henüz süt emen yavru
encek,kedi veya köpek yavrusu
engin,alçak yer
enik,köpek yavrusu
esinti,hafif rüzgar
eşkin,atların tatlı ve hızlı yürüyüşü
evermek,evlendirmek
evraç,saç üstünde yufkayı çevirmeye yarayan ağaç aygıt
evran,ejderha büyük yılan
felhan,yeni sürülmüş dinlenmekte olan tarla
fellah,arap soyundan gelen çiftçilere verilen ad
fışgın,dalda beliren filiz
firez,biçilmiş tarlada kalan hububat sapları
firik,yemek için ateşte çok hafifçe ütülenen taze hububat
gağarcık,zakkum
gapçık,yeşil ve taze ağaç dallarından çıkarılan kabuk
garçaşmak,gürültü yapmak
garsanbaç,buz veya kar helvası
gasar,harmandan sonraya kalan süprüntü
gasıl,başak geçmemiş taze yeşil buğday veya arpa
gavat,pezevenk
gavsara,kamıştan yapılmış sepet
gaytan,pamuktan yapılmış ip
geliç,ayrık cinsinden kökü derinlerde olan zehirli bir ot
gelinçi,düğün alayı
geritmek,kurumlu yürümek
geviş,memeli hayvanların yattığı yerden aldığı besinleri yeniden ağzına getirerek çiğnemesi
gıbla,kıble
gıcı,tütün ve küçük boylu sebzelerin tohumu
gındıra,saza benzeyen zararlı ot
gındırmak,kapıyı hafif aralık kalacak şekilde kapatmak
gıngırıç,tahtaravalli
